,AAPL US Equity,MSFT US Equity,NVDA US Equity,AVGO US Equity,AMZN US Equity,META US Equity,TSLA US Equity,GOOGL US Equity,GOOG US Equity,COST US Equity,NFLX US Equity,AMD US Equity,ADBE US Equity,PEP US Equity,LIN US Equity,QCOM US Equity,TMUS US Equity,CSCO US Equity,TXN US Equity,AMAT US Equity,INTU US Equity,AMGN US Equity,CMCSA US Equity,INTC US Equity,ISRG US Equity,HON US Equity,BKNG US Equity,MU US Equity,VRTX US Equity,LRCX US Equity,ADI US Equity,REGN US Equity,KLAC US Equity,PANW US Equity,ADP US Equity,GILD US Equity,MDLZ US Equity,PDD US Equity,SNPS US Equity,ASML US Equity,SBUX US Equity,MELI US Equity,CRWD US Equity,CTAS US Equity,CDNS US Equity,NXPI US Equity,MAR US Equity,CSX US Equity,ABNB US Equity,PYPL US Equity,ROP US Equity,ORLY US Equity,MRVL US Equity,CEG US Equity,PCAR US Equity,MNST US Equity,ADSK US Equity,CPRT US Equity,AEP US Equity,MCHP US Equity,WDAY US Equity,ROST US Equity,MRNA US Equity,CHTR US Equity,AZN US Equity,KDP US Equity,PAYX US Equity,FTNT US Equity,DXCM US Equity,TTD US Equity,ODFL US Equity,KHC US Equity,VRSK US Equity,FAST US Equity,EA US Equity,IDXX US Equity,DASH US Equity,CTSH US Equity,FANG US Equity,GEHC US Equity,DDOG US Equity,EXC US Equity,BKR US Equity,LULU US Equity,CCEP US Equity,BIIB US Equity,ON US Equity,GFS US Equity,CDW US Equity,XEL US Equity,CSGP US Equity,ZS US Equity,TEAM US Equity,ANSS US Equity,TTWO US Equity,DLTR US Equity,WBD US Equity,ARM US Equity,ILMN US Equity,MDB US Equity,WBA US Equity,IXIC Index
2022-06-30,136.72,256.83,15.159,48.581,106.21,161.25,224.4733,108.963,109.372,479.28,174.87,76.47,366.06,166.66,287.53,127.74,134.54,42.64,153.65,90.98,385.44,243.3,39.24,37.41,200.71,173.81,1748.99,55.28,281.79,426.15,146.09,591.13,319.08,164.647,210.04,61.81,62.09,61.8,303.7,475.88,76.39,636.87,168.56,373.53,150.03,148.03,136.01,29.06,89.08,69.84,394.65,631.76,43.53,57.26,54.8933,46.35,171.96,27.165,95.94,58.08,139.58,70.23,142.85,468.53,66.07,35.5775,113.87,56.58,74.53,41.89,128.14,38.14,173.09,49.92,121.65,350.73,64.17,67.49,121.15,,95.24,45.32,28.87,272.61,51.61,203.94,50.31,40.34,157.56,70.76,60.41,149.51,187.4,239.29,122.53,155.85,13.42,,179.167,259.5,37.9,13601.82
2022-07-01,138.93,259.58,14.523,47.784,109.56,160.03,227.2633,108.738,109.081,485.76,179.95,73.67,368.48,169.39,285.44,123.53,136.81,42.6,148.54,86.27,388.31,245.55,40.29,36.34,206.1,175.11,1767.98,53.65,287.32,394.83,142.91,595.4,296.26,169.417,213.23,62.36,63.34,64.82,301.23,449.83,79.26,659.95,179.25,376.71,149.64,146.09,139.18,29.34,91.41,71.4,400.67,636.08,42.55,57.6,55.26,47.295,173.86,27.5425,97.95,56.16,142.35,71.38,149.95,480.92,65.95,36.2611,116.36,57.37,77.63,41.66,130.505,38.64,175.3,49.74,122.73,358.44,67.95,68.03,121.21,,101.05,46.07,29.09,263.38,53.29,210.63,46.84,38.81,157,72.63,61.32,155.37,197.51,240.19,124.86,156.27,14.25,,185.659,269.01,38.56,13698.72
2022-07-04,138.93,259.58,14.523,47.784,109.56,160.03,227.2633,108.738,109.081,485.76,179.95,73.67,368.48,169.39,285.44,123.53,136.81,42.6,148.54,86.27,388.31,245.55,40.29,36.34,206.1,175.11,1767.98,53.65,287.32,394.83,142.91,595.4,296.26,169.417,213.23,62.36,63.34,64.82,301.23,449.83,79.26,659.95,179.25,376.71,149.64,146.09,139.18,29.34,91.41,71.4,400.67,636.08,42.55,57.6,55.26,47.295,173.86,27.5425,97.95,56.16,142.35,71.38,149.95,480.92,65.95,36.2611,116.36,57.37,77.63,41.66,130.505,38.64,175.3,49.74,122.73,358.44,67.95,68.03,121.21,,101.05,46.07,29.09,263.38,53.29,210.63,46.84,38.81,157,72.63,61.32,155.37,197.51,240.19,124.86,156.27,14.25,,185.659,269.01,38.56,13698.72
2022-07-05,141.56,262.85,14.964,47.63,113.5,168.19,233.0667,113.263,113.887,488.26,185.88,75.2,376.49,169.01,270.63,125.83,137.56,42.34,149.1,86,400.22,246.73,40.1,36.69,206.75,172.09,1787.96,56.73,288.98,388.77,143.07,596.56,295.56,173.713,212.48,62.34,62.48,66.62,302.91,432.4,79.52,713.57,187.02,375.36,151.64,145.91,138.69,28.51,95.94,74.4,401.59,647.51,42.98,54.94,54.5733,48.055,176.9,28.07,93.58,56.14,146.37,73.82,155.54,481.22,65.51,36.4521,115.57,59,78.46,44.29,129.51,38.12,175.42,49.67,124.75,366.87,74.9,67.72,114.14,,108.38,43.62,28.2,283.62,51.76,212.58,47.3,40.57,157.75,69.89,61.87,166.31,208.39,245.19,127.04,164.84,14.44,,187.583,304.43,38.51,13931.94
2022-07-06,142.92,266.21,15.13,48.261,114.33,169.77,231.7333,114.572,115.214,492.65,184.06,75.35,382.83,170.7,274.29,127.06,137,43.0766,150.81,86.56,404.91,245.25,40.1,36.99,205.35,173.21,1750.86,57.37,291.16,391.69,144.7,594.9,293,171.653,217.26,62.73,62.41,61.69,309.63,428.88,78.86,704.55,185.92,380.12,156.04,145.75,135.65,28.89,92.88,73.24,404.75,657.75,43.82,56.76,54.2133,48.695,176.73,28.1975,94.8,56.15,145.94,73.99,159.56,471.64,66.49,36.1405,116.97,59.87,78.35,42.99,132.095,38.2,178.12,50.42,124.35,375.22,69.36,68.02,110.28,,108.03,44.26,27.5,280.38,51.3,215.98,47.61,41.08,158.16,71.01,62.07,163.75,207.85,247.42,125.62,165.79,14.27,,189.887,304.3,37.78,14017.91
2022-07-07,146.35,268.4,15.858,49.854,116.33,172.19,244.5433,118.783,119.306,494.95,189.27,79.3,390.89,170.36,273.88,134.4,136.33,43.6114,154.69,90.75,410.84,247.42,40.2107,38.14,208.71,173.79,1785.92,58.85,294.17,414.88,148.57,607.45,314.17,172.417,216.52,62.72,62.37,62.23,319.43,451.9,79.24,721.62,190.2,380.89,160.19,152.02,138.68,29.24,97.5,75.04,403.01,661.62,46.66,59.11,54.8267,48.495,182.25,28.78,94.52,58.75,147.6,76.54,172.4,465.4,66.92,36.3415,116.52,61.62,81.92,45.53,136.845,38.08,178.03,50.79,125.6,382.52,76,67.58,116.3,,107.7,44.39,28.47,290.72,51.93,217.96,52.01,43.34,159.82,69.58,61.68,167.43,213.77,252.34,126.82,168.79,14.52,,196.505,315.48,38.21,14321.29
2022-07-08,147.04,267.66,15.838,49.869,115.54,170.88,250.7633,119.354,120.169,501.54,186.975,79.35,389.44,171.88,273.68,136.01,135.72,43.783,155.53,91.19,407.49,248.48,40.2309,37.99,208.81,173.34,1769.48,59.255,294.29,415.12,149.94,621.57,316.84,174.74,217.27,62.84,62.44,60.8,317.54,452.95,79.28,708.63,190.38,381.07,160.42,154.28,137.8,28.99,97.35,73.43,402.639,657.88,47.0505,59.65,54.0467,48.74,179.83,28.6225,94.34,59.45,148.01,75.46,176.23,463.55,66.98,36.3918,116.8,62.7,81.24,45.63,136.51,38.37,178.07,50.64,125.63,378.45,74.96,67.02,116.33,,108.29,44.29,28.47,293.39,51.8,218.8,53.47,45.27,161.53,69.6,61.8,166.89,214.08,249.65,124.93,167.36,13.99,,191.49,314.16,37.55,14341.38
2022-07-11,144.87,264.51,15.152,48.286,111.75,162.88,234.3433,115.677,116.523,498.9,177.34,76.95,384.16,170.47,276.77,132.24,134.73,43.6417,153.56,88.62,403.233,247.78,39.4355,37.2,205.72,172.84,1724.55,57.9224,294.07,402.41,147.56,614.46,313.17,171.97,214.89,62.66,62.28,54.7,315.19,439.06,77.9,659.92,185.37,380.77,157.87,151.96,137.76,28.85,95.1,70.47,397.942,655.3,45.2582,59.84,52.86,48.43,176.72,28.19,95.01,58.87,145.54,74.6,175.26,453.39,66.74,36.3315,116.22,62.28,78.43,43.51,134.765,38.61,177.84,50.5,123.84,369.66,71.32,65.7,114.39,,104.01,44.43,28.2,281.76,50.78,215.26,52.6,42.89,158.59,69.89,61.46,162.42,211.03,244.34,122.7,166.17,13.66,,184.959,310.86,37.43,14027.47
2022-07-12,145.86,253.67,15.082,48.137,109.22,163.27,233.07,114.021,114.849,490.57,174.45,76.36,375.54,169.5,273.54,132.95,134.44,43.2482,154.46,88.73,386.515,246.97,40.0195,37.21,202.13,173.61,1738.25,59.2951,290.01,405.87,148.05,610.09,313.78,164.193,212.29,62.34,62.56,56.21,306.41,434.49,77.76,653.63,174.39,377.46,154.22,152.24,139.12,28.42,96.55,71.43,391.542,653.29,45.5886,59.23,53.5467,48.375,172.33,27.965,94.37,59.2,137.78,75.07,173.25,468.1,66.72,36.4923,114.85,59.62,78.05,45.15,131.405,38.8,174.08,49.99,121.98,362.46,71.13,65.15,110.41,,97.32,44.23,27.49,279.39,49.9,215.58,52.77,41.48,158.2,69.5,59.7,150.92,192.67,238.6,121.99,164.13,13.95,,182.695,291.24,37.97,13891.11
2022-07-13,145.49,252.72,15.164,48.173,110.4,163.49,237.04,111.354,112.187,492.22,176.56,77.52,371.94,170.1,274.73,135.64,134.92,43.0867,154.29,89.08,383.951,247.09,40.1503,37.21,202.06,170.87,1738.03,58.9745,288.73,412.01,149.19,602.02,313.12,164.47,211.07,62.46,61.97,56.35,303.07,447.01,77.92,655.75,174.97,377.57,153.34,155.01,140.8,28.23,95.64,71.36,385.633,667.16,46.1994,59.82,52.88,48.4,170.95,27.8125,93.9,59.34,140.05,76.33,171.24,465.64,66.3,36.623,113.34,58.91,76.35,44.16,124.66,39.18,174.71,46.77,121.68,363.33,71.74,65.04,110.59,,97.34,43.6,26.76,280.97,49.89,214.53,52.48,41.83,158.3,69.2,59.3,148.95,194.47,234.47,121.14,165.94,14.18,,176.077,295.26,37.24,13871.64
