AAPL US Equity,Information Technology
MSFT US Equity,Information Technology
NVDA US Equity,Information Technology
AVGO US Equity,Information Technology
AMZN US Equity,Consumer Discretionary
META US Equity,Communication Services
TSLA US Equity,Consumer Discretionary
GOOGL US Equity,Communication Services
GOOG US Equity,Communication Services
COST US Equity,Consumer Staples
NFLX US Equity,Communication Services
AMD US Equity,Information Technology
ADBE US Equity,Information Technology
PEP US Equity,Consumer Staples
LIN US Equity,Materials
QCOM US Equity,Information Technology
TMUS US Equity,Communication Services
CSCO US Equity,Information Technology
TXN US Equity,Information Technology
AMAT US Equity,Information Technology
INTU US Equity,Information Technology
AMGN US Equity,Health Care
CMCSA US Equity,Communication Services
INTC US Equity,Information Technology
ISRG US Equity,Health Care
HON US Equity,Industrials
BKNG US Equity,Consumer Discretionary
MU US Equity,Information Technology
VRTX US Equity,Health Care
LRCX US Equity,Information Technology
ADI US Equity,Information Technology
REGN US Equity,Health Care
KLAC US Equity,Information Technology
PANW US Equity,Information Technology
ADP US Equity,Industrials
GILD US Equity,Health Care
MDLZ US Equity,Consumer Staples
PDD US Equity,Consumer Discretionary
SNPS US Equity,Information Technology
ASML US Equity,Information Technology
SBUX US Equity,Consumer Discretionary
MELI US Equity,Consumer Discretionary
CRWD US Equity,Information Technology
CTAS US Equity,Industrials
CDNS US Equity,Information Technology
NXPI US Equity,Information Technology
MAR US Equity,Consumer Discretionary
CSX US Equity,Industrials
ABNB US Equity,Consumer Discretionary
PYPL US Equity,Financials
ROP US Equity,Information Technology
ORLY US Equity,Consumer Discretionary
MRVL US Equity,Information Technology
CEG US Equity,Utilities
PCAR US Equity,Industrials
MNST US Equity,Consumer Staples
ADSK US Equity,Information Technology
CPRT US Equity,Industrials
AEP US Equity,Utilities
MCHP US Equity,Information Technology
WDAY US Equity,Information Technology
ROST US Equity,Consumer Discretionary
MRNA US Equity,Health Care
CHTR US Equity,Communication Services
AZN US Equity,Health Care
KDP US Equity,Consumer Staples
PAYX US Equity,Industrials
FTNT US Equity,Information Technology
DXCM US Equity,Health Care
TTD US Equity,Communication Services
ODFL US Equity,Industrials
KHC US Equity,Consumer Staples
VRSK US Equity,Industrials
FAST US Equity,Industrials
EA US Equity,Communication Services
IDXX US Equity,Health Care
DASH US Equity,Consumer Discretionary
CTSH US Equity,Information Technology
FANG US Equity,Energy
GEHC US Equity,Health Care
DDOG US Equity,Information Technology
EXC US Equity,Utilities
BKR US Equity,Energy
LULU US Equity,Consumer Discretionary
CCEP US Equity,Consumer Staples
BIIB US Equity,Health Care
ON US Equity,Information Technology
GFS US Equity,Information Technology
CDW US Equity,Information Technology
XEL US Equity,Utilities
CSGP US Equity,Real Estate
ZS US Equity,Information Technology
TEAM US Equity,Information Technology
ANSS US Equity,Information Technology
TTWO US Equity,Communication Services
DLTR US Equity,Consumer Staples
WBD US Equity,Communication Services
ARM US Equity,Information Technology
ILMN US Equity,Health Care
MDB US Equity,Information Technology
WBA US Equity,Consumer Staples
